incident_code,user_id,barangay_id,emergency_id,incident_id,casualty_count,distance,map_coordinates,remarks,priority_score,priority_level,priority_label,reported_at
IND-2026-0026,3,26,1,1,1,2.0,"14.298000, 121.015200",Asthma attack at residence requiring urgent response,7.16,P2,High,2026-02-26 16:30:52
IND-2026-0027,3,27,7,37,2,5.5,"14.283000, 121.002800",Typhoon response needed in heavily affected barangay,6.97,P2,High,2026-02-28 00:56:47
IND-2026-0028,1,1,2,18,1,2.6,"14.285800, 121.005100",Stab wound victim found at basketball court,8.90,P1,Critical,2026-03-02 13:32:51
IND-2026-0029,1,2,5,26,0,4.2,"14.288600, 121.007400",Drowning incident at barangay riverside,8.46,P1,Critical,2026-03-04 01:33:09
IND-2026-0030,1,3,6,35,0,3.0,"14.291400, 121.009700",Shooting incident near vacant lot,8.46,P1,Critical,2026-03-06 16:28:04
IND-2026-0031,1,4,3,20,0,2.3,"14.294200, 121.012000",Electrical fire at residential unit,6.93,P2,High,2026-03-08 22:38:36
IND-2026-0032,1,5,1,6,1,1.9,"14.297000, 121.014300",Fever and infection case needing medical transport,3.57,P4,Low,2026-03-10 07:21:26
IND-2026-0033,1,6,4,13,1,3.5,"14.282000, 121.002100",Truck accident blocking highway with injuries,8.68,P1,Critical,2026-03-12 01:01:12
IND-2026-0034,1,7,5,29,0,4.6,"14.284800, 121.004400",Collapsed wall trapping residents inside structure,8.46,P1,Critical,2026-03-14 14:53:07
IND-2026-0035,1,8,7,39,0,5.2,"14.287600, 121.006700",Earthquake response — structural damage check needed,8.92,P1,Critical,2026-03-16 13:30:25
IND-2026-0036,1,9,2,14,1,2.4,"14.290400, 121.009000",Severe bleeding from workplace injury,8.90,P1,Critical,2026-03-18 07:19:51
IND-2026-0037,1,10,3,22,0,2.2,"14.293200, 121.011300",Grass fire spreading near open lot,5.20,P3,Moderate,2026-03-20 13:38:43
IND-2026-0038,1,11,4,11,3,3.7,"14.296000, 121.013600",Car-to-car collision at busy intersection,7.16,P2,High,2026-03-22 07:25:29
IND-2026-0039,1,12,4,13,1,3.5,"14.281000, 121.001400",Truck overturned on highway blocking lanes,8.68,P1,Critical,2026-03-24 01:01:12
IND-2026-0040,2,13,1,2,1,2.7,"14.283800, 121.003700",Cardiac arrest — patient unresponsive at home,8.68,P1,Critical,2026-03-26 02:05:31
IND-2026-0041,2,14,5,30,0,2.8,"14.286600, 121.006000",Missing person — elderly resident wandered away,5.20,P3,Moderate,2026-03-28 15:55:26
IND-2026-0042,2,15,3,25,0,2.0,"14.289400, 121.008300",LPG gas leak at residential compound,9.22,P1,Critical,2026-03-30 14:31:25
IND-2026-0043,2,16,2,16,1,2.2,"14.292200, 121.010600",Fall from roof during repair work,7.16,P2,High,2026-04-01 06:19:40
IND-2026-0044,2,17,7,36,0,5.0,"14.295000, 121.012900",Flood situation worsening in low-lying areas,6.51,P2,High,2026-04-03 18:54:30
IND-2026-0045,2,18,1,3,1,1.8,"14.280200, 121.000700",Hypertension emergency at elderly residents home,8.68,P1,Critical,2026-04-05 06:05:37
IND-2026-0046,2,19,4,11,2,3.4,"14.283000, 121.003000",Multi-vehicle collision at busy intersection,7.16,P2,High,2026-04-07 18:10:44
IND-2026-0047,2,20,5,27,0,4.0,"14.285800, 121.005300",Person trapped under collapsed fence post,8.46,P1,Critical,2026-04-09 07:07:41
IND-2026-0048,2,21,6,32,0,2.6,"14.288600, 121.007600",Physical altercation with injuries near park,6.93,P2,High,2026-04-11 11:28:33
IND-2026-0049,2,22,3,21,0,1.6,"14.291400, 121.009900",House fire reported near residential compound,8.92,P1,Critical,2026-04-13 14:05:07
IND-2026-0050,2,23,2,19,1,2.6,"14.294200, 121.012200",Gunshot wound victim requiring urgent care,9.10,P1,Critical,2026-04-15 20:45:33
