incident_code,user_id,barangay_id,emergency_id,incident_id,casualty_count,minor_casualty_count,serious_casualty_count,deceased_casualty_count,distance,distance_km,site_location_id,map_coordinates,remarks,priority_score,priority_level,priority_label,severity_level,responder_count,status,reported_at
IND-2026-0028,1,1,2,18,1,1,0,0,2.6,1.44,1,"14.285800, 121.005100",Stab wound victim found at basketball court,8.90,P1,Critical,high,4,resolved,2026-05-15 14:32:00
IND-2026-0029,1,2,5,26,0,0,0,0,4.2,0.83,5,"14.288600, 121.007400",Drowning incident at barangay riverside,8.46,P1,Critical,high,4,resolved,2026-05-16 03:12:00
IND-2026-0030,1,3,6,35,0,0,0,0,3.0,0.59,5,"14.291400, 121.009700",Shooting incident near vacant lot,8.46,P1,Critical,high,3,resolved,2026-05-16 16:18:00
IND-2026-0031,1,4,3,20,0,0,0,0,2.3,0.64,7,"14.294200, 121.012000",Electrical fire at residential unit,6.93,P2,High,high,2,resolved,2026-05-17 04:32:00
IND-2026-0032,1,5,1,6,1,1,0,0,1.9,0.17,14,"14.297000, 121.014300",Fever and infection case needing medical transport,3.57,P4,Low,low,3,resolved,2026-05-17 18:16:00
IND-2026-0033,1,6,4,13,1,1,0,0,3.5,1.91,1,"14.282000, 121.002100",Truck accident blocking highway with injuries,8.68,P1,Critical,high,4,resolved,2026-05-18 06:29:00
IND-2026-0034,1,7,5,29,0,0,0,0,4.6,1.29,5,"14.284800, 121.004400",Collapsed wall trapping residents inside structure,8.46,P1,Critical,high,3,resolved,2026-05-18 20:16:00
IND-2026-0035,1,8,7,39,0,0,0,0,5.2,1.16,7,"14.287600, 121.006700",Earthquake response — structural damage check needed,8.92,P1,Critical,high,2,resolved,2026-05-19 08:42:00
IND-2026-0036,1,9,2,14,1,1,0,0,2.4,0.97,1,"14.290400, 121.009000",Severe bleeding from workplace injury,8.90,P1,Critical,high,4,resolved,2026-05-19 21:44:00
IND-2026-0037,1,10,3,22,0,0,0,0,2.2,0.67,7,"14.293200, 121.011300",Grass fire spreading near open lot,5.20,P3,Moderate,medium,4,resolved,2026-05-20 10:22:00
IND-2026-0038,1,11,4,11,3,3,0,0,3.7,0.85,1,"14.296000, 121.013600",Car-to-car collision at busy intersection,7.16,P2,High,high,4,resolved,2026-05-20 23:31:00
IND-2026-0039,1,12,4,13,1,1,0,0,3.5,2.03,1,"14.281000, 121.001400",Truck overturned on highway blocking lanes,8.68,P1,Critical,high,3,resolved,2026-05-21 12:48:00
IND-2026-0040,2,13,1,2,1,1,0,0,2.7,0.29,25,"14.283800, 121.003700",Cardiac arrest — patient unresponsive at home,8.68,P1,Critical,high,4,resolved,2026-05-22 01:47:00
IND-2026-0041,2,14,5,30,0,0,0,0,2.8,1.06,5,"14.286600, 121.006000",Missing person — elderly resident wandered away,5.20,P3,Moderate,medium,2,resolved,2026-05-22 14:38:00
IND-2026-0042,2,15,3,25,0,0,0,0,2.0,0.96,7,"14.289400, 121.008300",LPG gas leak at residential compound,9.22,P1,Critical,high,3,resolved,2026-05-23 03:31:00
IND-2026-0043,2,16,2,16,1,1,0,0,2.2,0.86,1,"14.292200, 121.010600",Fall from roof during repair work,7.16,P2,High,high,3,resolved,2026-05-23 16:04:00
IND-2026-0044,2,17,7,36,0,0,0,0,5.0,0.63,5,"14.295000, 121.012900",Flood situation worsening in low-lying areas,6.51,P2,High,high,5,resolved,2026-05-24 05:15:00
IND-2026-0045,2,18,1,3,1,1,0,0,1.8,0.3,25,"14.280200, 121.000700",Hypertension emergency at elderly residents home,8.68,P1,Critical,high,4,resolved,2026-05-24 18:28:00
IND-2026-0046,2,19,4,11,2,2,0,0,3.4,1.78,1,"14.283000, 121.003000",Multi-vehicle collision at busy intersection,7.16,P2,High,high,3,resolved,2026-05-25 07:28:00
IND-2026-0047,2,20,5,27,0,0,0,0,4.0,1.16,5,"14.285800, 121.005300",Person trapped under collapsed fence post,8.46,P1,Critical,high,4,resolved,2026-05-25 20:35:00
IND-2026-0048,2,21,6,32,0,0,0,0,2.6,0.84,5,"14.288600, 121.007600",Physical altercation with injuries near park,6.93,P2,High,high,2,resolved,2026-05-26 08:53:00
IND-2026-0049,2,22,3,21,0,0,0,0,1.6,0.78,7,"14.291400, 121.009900",House fire reported near residential compound,8.92,P1,Critical,high,2,resolved,2026-05-26 22:27:00
IND-2026-0050,2,23,2,19,1,1,0,0,2.6,0.59,5,"14.294200, 121.012200",Gunshot wound victim requiring urgent care,9.10,P1,Critical,high,4,resolved,2026-05-27 10:58:00
